Player name,Position,Win,Loss,Earned run Average,Games played,Games Started,Complete Game,Shutout,Save,Save Opportunity,Innings pitched,hit,run,earned run,home run, Hit Batsmen,base on balls,Strikeouts,WHIP,AVG
D Thayer,P,11,17,3.47,264,0,0,0,9,17,251.2,239,104,97,30,5,66,213,1.21,0.251
J Zimmerman,P,17,12,3.27,196,0,0,0,32,41,228.2,178,88,83,29,8,73,213,1.1,0.214
D Gray,P,15,51,3.52,98,70,46,3,0,--,568,586,319,222,8,22,182,213,1.35,0.271
M Garman,P,22,27,3.63,303,8,0,0,42,42,433.2,411,198,175,34,9,202,213,1.41,0.254
A Mills,P,12,14,4.95,69,39,1,1,2,2,256.1,263,150,141,42,20,79,213,1.33,0.266
T Buskey,P,21,27,3.66,258,0,0,0,34,35,479.1,479,218,195,57,9,167,212,1.35,0.267
J Ritchie,P,8,13,3.49,167,2,0,0,8,--,291.1,301,132,113,23,6,94,212,1.36,0.269
J Hutchings,P,12,18,3.96,155,34,5,3,6,--,471,474,239,207,36,12,180,212,1.39,0.26
R Manning,P,22,32,3.14,84,57,35,4,2,--,502,483,236,175,10,32,162,212,1.28,0.263
F Coumbe,P,38,38,2.81,193,70,30,4,13,--,761.1,773,336,238,10,13,217,212,1.3,0.276
J Arredondo,P,22,11,3.27,214,0,0,0,1,11,220,182,92,80,21,4,110,212,1.33,0.225
R Monteleone,P,24,17,3.87,210,0,0,0,0,0,353.1,344,170,152,43,4,119,212,1.31,0.255
L Luetge,P,12,11,3.4,219,1,0,0,5,9,219.2,217,97,83,18,10,79,212,1.35,0.257
F Gilmore,P,12,33,4.26,49,47,46,2,0,--,405.1,435,308,192,14,20,143,212,1.43,0.323
L Kiely,P,26,27,3.37,209,39,8,1,29,--,523,562,239,196,39,9,189,212,1.44,0.279
P Espino,P,5,14,4.7,91,41,1,0,1,1,253,270,137,132,51,6,61,211,1.31,0.271
N Ram?rez,P,4,8,4.46,185,1,0,0,3,6,179.2,160,99,89,33,6,95,211,1.42,0.236
R Evans,P,29,43,3.66,84,68,57,2,0,--,614.1,673,368,250,10,36,233,211,1.47,0.281
J Edwards,P,26,37,4.37,145,59,22,6,4,--,584.1,666,360,284,18,13,278,211,1.62,0.295
S Kim,P,13,13,5.31,118,38,1,1,0,0,337,396,211,199,44,27,127,211,1.55,0.295
S Strider,P,13,5,2.57,34,21,0,0,0,1,140,91,43,40,8,3,49,211,1,0.18
S Romano,P,15,21,5.23,88,41,0,0,2,2,275.1,299,175,160,41,10,109,211,1.48,0.275
M Hedlund,P,25,24,3.56,113,62,9,1,2,2,465.2,440,207,184,39,7,167,211,1.3,0.253
T Borland,P,11,9,4.17,207,0,0,0,8,10,269.2,263,144,125,23,18,146,211,1.52,0.254
